"","user","type"
"205","Go behind the scenes with the @nfl to understand how they use technology to officiate games ","sports"
"206","Follow all the pre-match build-up to @manutd against @chelseafc at #bbcfootball ","sports"
"207","Newcastle’s win lifts them to 14th in the table and puts Sunderland into the relegation zone ","sports"
"208","Spurs 1 Newcastle 2 – Sammy Ameobi and Ayoze Pérez give #nufc first away win #TOTNEW ","sports"
"209","Burnley 1 Everton 3 – Two goals from Samuel Eto’o and one from Romelu Lukaku give Everton win ","sports"
"210","Burnley 1 Everton 3 – Samuel Eto’o scores his second of the match with a stunning right-footed strike ","sports"
"211","Chelsea will have Didier Drogba up front v #mufc with Diego Costa and Loic Remy both injured ","sports"
"212","Angel di Maria has overcome a thigh injury and will start for #mufc against @chelseafc ","sports"
"213","Follow live coverage of Andy Murray against Tommy Robredo in the Valencia Open final ","sports"
"214","Spurs 1 Newcastle 2 – A superb header from Ayoze Pérez gives the visitors a surprise lead at White Hart Lane ","sports"
"215","Did you know Real Madrid have now scored 33 goals after 9 games so far this season in La Liga? ","sports"
"216","Spurs 1 Newcastle 1 – Second-half sub Sammy Ameobi scores just seconds after coming onto the pitch ","sports"
"217","From 16GMT #MUFC v #CFC is live on @bbcsportsworld and there is reaction to @Lions v @Atlanta_Falcons in the #NFL ","sports"
"218","Tony Fernandes has called for unity following Harry Redknapp's fall-out with Adel Taarabt ","sports"
"219","Burnley 1 Everton 2 (HT) – Samuel Eto’o and Romelu Lukaku both scored for the visitors ","sports"
"220","Spurs 1 Newcastle 0 – A header from Emmanuel Adebayor was enough to give his side a HT lead ","sports"
"221","Learning England can beat 'vulnerable' Australia. Read more at ","sports"
"222","Check out the player ratings for El Clasico. Do you agree? #bbceurofooty] ","sports"
"223","Burnley 1 Everton 2 – Romelu Lukaku makes up for his earlier error to give his side the lead again ","sports"
"224","Athens derby: ‘Petrol bombs, flares, firecrackers and fights. And that's just on the pitch.’ ","sports"
"225","Leeds United have parted company with head coach Darko Milanic after 32 days ","sports"
"226","Manchester City boss Manuel Pellegrini is refusing to panic despite another defeat ","sports"
"227","Could West Bromwich Albion’s Saido Berahino be on the move to Liverpool? ","sports"
"228","Liverpool fan protest: Did you know only Chelsea charge more for their cheapest ticket? ","sports"
"229","Luis Suarez says it was a ""big relief"" to make his Barcelona debut ","sports"
"230","Find out how the son of former world champion Chris Eubank got on in his latest fight ","sports"
"231","#LFC boss Brendan Rodgers on Mario Balotelli: “He is working hard and doing his best."" ","sports"
"232","69 minutes. 0 shots. Look back on Luis Suarez’s debut in El Clasico ","sports"
"233","Watch when Russell Brand kissed Sam Allardyce after West Ham beat Man City ","sports"
"234","Baseball: San Francisco Giants beat Kansas City Royals 11-4 to level best-of-seven World Series at 2-2","sports"
"235","It was the FA Cup Fourth Qualifying round on Saturday. Was this the goal of the day? Watch ","sports"
"236","Do women need a clear pathway into sports coaching to succeed in a male-dominated environment? ","sports"
"237","Ronaldo v Messi?  What about Rodriguez v Neymar? And Luis Suarez? Read the El Clasico review ","sports"
"238","Jose Mourinho says Chelsea aim to maintain their positive start to the season at @manutd ","sports"
"239","Luka Modric had 100% completion rate from his 41 passes against Barcelona on Saturday ","sports"
"240","Man Utd boss Louis van Gaal refuses to rule out move for ex-Barca keeper Victor Valdes. Gossip ","sports"
"241","Coming up all the goals from Leagues One and Two. #FLS ","sports"
"242","Coventry City come back from 2 down to stun second-place Peterborough in a five-goal thriller. ","sports"
"243","Nottingham Forest lost at home for the first time this season as Blackburn came from behind. ","sports"
"244","3rd, 35th, 40th, 63rd, 69th, 82nd, 84th, 86th minute - look away Birmingham fans: #FLS ","sports"
"245","Leeds Utd parted company with head coach Darko Milanic after just 32 days in charge #FLS #LUFC ","sports"
"246","Join @_manishbhasin, Steve Evans &amp; Leroy Rosenior for the Football League Show now. #FLS ","sports"
"247","Stuart Hall failed to regain IBF world bantamweight title losing on points to Randy Caballero. ","sports"
"248","Join @_manishbhasin, Steve Evans &amp; Leroy Rosenior for the Football League Show at 23:45 BST. ","sports"
"249","We've heard of moving the goalposts. Well how about measuring them? #MOTD ","sports"
"250","How to keep up-to-date with the #FACup on BBC Sport: #bbcfacup #MOTD ","sports"
"251","That's got to hurt.... Ferocious kick sends British fighter to Taekwondo GP final: ","sports"
"252","Liverpool were 'excellent' against Hull, says #LFC boss Brendan Rodgers. What did you think? ","sports"
"253","Manchester City manager Manuel Pellegrini says his side were ""unlucky"" in West Ham defeat. ","sports"
"254","Glasgow Warriors remain top of European Rugby Champions Cup Pool 4 after beating Montpellier. ","sports"
"255","Darko Milanic’s reign of 32 days as head coach is the shortest of any permanent boss in Leeds United’s history. #lufc ","sports"
"256","Southampton climbed to second in the Premier League after fourth consecutive home win. ","sports"
"257","Mario Balotelli suffered another frustrating day as Liverpool were held at home by Hull City. ","sports"
"258","Your beat Man City and get a kiss off @rustyrockets - what more could Sam Allardyce wish for? ","sports"
"259","Well, there goes another #ElClasico... Here's the report on a happy night for Real Madrid ","sports"
"260","Our #ElClasico man of the match vote is closed. @Cristiano Ronaldo wins, with 32%. Full result ","sports"
"261","FT Swansea 2-0 Leicester - Wilfried Bony scores twice as #swans go 6th in the Premier League ","sports"
"262","More on the departure of Leeds United head coach, Darko Milanic, after just 32 days #lufc ","sports"
"263","Vote here for your #ElClasico man of the match - voting closes at 19:30. Terms &amp; conditions -&gt; ","sports"
"264","FT Real Madrid 3-1 Barcelona - Real take #ElClasico win. Goals from Ronaldo, Pepe &amp; #Benzema  ","sports"
"265","Swansea 2-0 Leicester - Wilfried Bony grabs his second and does a little dance to celebrate #swans #lcfc","sports"
"266","Real Madrid 3-1 Barcelona. 10mins to go. Any hope for #FCB? Live text #bbceurofooty #ElClasico ","sports"
"267","Leeds United have parted company with Darko Milanic. Neil Redfearn will take training on Monday, #lufc  confirm ","sports"
"268","@Blyth_Spartans Congratulations. The draw is actually at 7pm on @BBCTwo on Monday.","sports"
"269","Luis Suarez is subbed for Pedro. Still 3-1 to Real Madrid. Live text #bbceurofooty #ElClasico. ","sports"
"270","HT Swansea 1-0 Leicester. Wilfried Bony gives #swans the advantage. Live text #bbcfootball ","sports"
"271","Another great moment. Watch Tiger Woods' audacious chip at the 16th hole at the 2005 Masters. ","sports"
"272","Shaun Reid, brother of ex-England midfielder Peter Reid, is hoping for a lengthy FA Cup run. ","sports"
"273","Hugo Rodallega scores twice as Fulham beat Charlton 3-0 to move out of the Championship relegation zone #FFC","sports"
"274","Edinburgh move top of Pool Four with a hard-fought victory over Lyon in the European Rugby Challenge Cup ","sports"
"275","David Kilcoyne scores the only try as Munster beat Saracens 14-3 to top European Rugby Champions Cup Pool 1 ","sports"
"276","Ruler Of The World - the 2013 Derby winner - is retired because of an injury and will begin a breeding career ","sports"
"277","London Irish make it two wins from two in the European Challenge Cup with a bonus-point 25-15 win against Grenoble ","sports"
"278","Newcastle fight back to beat NG Dragons 30-26 to boost their European Challenge Cup quarter-final hopes ","sports"
"279",".@MariaSharapova misses her chance to end the year as world number one. ","sports"
"280","Watch Ravel Morrison score a fine volley in @england U21s training. ","sports"
"281","Rugby star Kurtley Beale will pay £25k for sending an offensive picture to a female official ","sports"
"282","Rafael Nadal says he is to have appendix surgery on 3 November, ruling the 14-time Grand Slam winner out of the ATP World Tour Finals.","sports"
"283","Everything you need to know about El Clasico. @realmadriden play @FCBarcelona on Saturday. ","sports"
"284","Rafael Nadal loses 6-2 7-6 (7-4) to Croatian teenager Borna Coric in the Swiss Open quarter-finals.","sports"
"285","Watch LIVE coverage from the first day of the World Taekwondo Grand Prix in Manchester ","sports"
"286","Another outrageous moment. Watch Ravel Morrison score a fine volley in @england U21s training. ","sports"
"287",".@RobbieSavage8: I'm sure @SunderlandAFC's collapse at @SouthamptonFC is a one-off. ","sports"
"288","The 2013 Derby winner Ruler Of The World has been retired because of a recurring muscle injury, and will begin a breeding career in Ireland.","sports"
"289","F1 boss Bernie Ecclestone gives Caterham special dispensation to miss the United States and Brazilian grands prix while a buyer is sought.","sports"
"290","""There is always a scapegoat &amp; he is it. It's unfair."" Steve Bruce backs @LFC's @FinallyMario. ","sports"
"291",".@RobbieSavage8: ""Louis van Gaal thinks @ManUtd can catch @chelseafc. Who is he kidding?"" ","sports"
"292","Do you agree with Mark Lawrenson's predictions for this weekend's @premierleague matches? ","sports"
"293",".@chelsea boss Jose Mourinho on Diego Costa: ""He has a little chance of playing v @ManUtd."" ","sports"
"294","Remember to follow us on Instagram &gt;&gt;&gt; ","sports"
"295","In such a highly competitive Clasico, the result can be tied down to the coaches tactics: ","sports"
"296","SPECIAL SLIDESHOW Wrong Choices: Ten cases of athletes who went bankrupt ","sports"
"297","LOVREN!! 95th MINUTE! Liverpool take the lead!! #beINCapitalOneCup ","sports"
"298","Red card to Fernandez after a strong challenge. Could this be a controversial game changer? #beINCapitalOneCup ","sports"
"299","SPECIAL SLIDESHOW: Meet the Candidates for @FIFAcom Ballon d'Or 2014 ","sports"
"300","Mariooooo Balotelli gives Liverpool a lifeline with the equalizing goal after 86 minutes! #beINCapitalOneCup ","sports"
"301","In comes Mario Balotelli with just 10 minutes to go. Will he be the decisive factor for LFC? #beINCapitalOneCup ","sports"
"302","Borini takes one in the one place you don't want to get hit on. #beINCapitalOneCup ","sports"
"303","Liverpool comes close with several chances but nothing goes past the Swansea defense! #beINCapitalOneCup ","sports"
"304","Marvin Emnes with the fantastic volley to put Swansea ahead! #beINCapitalOneCup ","sports"
"305","Gomis with the strong header but unable to break the wall that is Brad Jones! #beINCapitalOneCup ","sports"
"306","Should Swansea had a pk call on this play? #beINCapitalOneCup ","sports"
"307","They may be leading, but @JuventusFC is not so powerful anymore and this what they need: ","sports"
"308","Liverpool - Swansea in an intense match. First half highlights here #beINCapitalOneCup ","sports"
"309","Nice save from Brad Jones! #beINCapitalOneCup ","sports"
